Fabricant;Produit;Reference;Quantité;Réel;Activé;"Prix Achat";"Prix Vente";"Total Achat";"Total Vente"
"Marie qui défait les noeuds";"Maria Knotenloserin novene (DE)";79-UNITE;1538;;Oui;0.22;3.79;338.36;5831.28
"Marie qui défait les noeuds";"Maria, Desatadora dos nós (PT)";70-UNITE;631;;Oui;0.27;3.79;170.37;2392.42
"Marie qui défait les noeuds";"Marie die de knopen ontwart (NL)";76-UNITE;0;;Non;0.25;3.79;0.00;0.00
"Marie qui défait les noeuds";"Marie qui défait les noeuds, d'un miracle à une dévotion";115-UNITE;1517;;Oui;1.33;8.34;2017.61;12653.65
"Marie qui défait les noeuds";"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques";978-2-35689-087-0;0;;Non;0.53;5.69;0.00;0.00
"Marie qui défait les noeuds";"Mary who unties knots  (chinese version)";72-UNITE;98;;Oui;3.06;3.79;299.88;371.56
"Marie qui défait les noeuds";"Mary who Unties Knots (EN)";78-UNITE;483;;Oui;0.32;3.79;154.56;1831.28
"Marie qui défait les noeuds";"Neuvaine à Marie qui défait les noeuds - Version originale 2022";140-UNITE;23;;Oui;0.00;4.74;0.00;109.00
"Marie qui défait les noeuds";"Neuvaine pour la famille - Marie qui défait les nœuds";37-UNITE;-4;;Non;0.18;4.74;-0.72;-18.96
"Marie qui défait les noeuds";"Neuvaine pour le travail - Marie qui défait les nœuds";36-UNITE;29;;Oui;0.18;4.74;5.22;137.44
"Marie qui défait les noeuds";"Neuvaine pour les malades - Marie qui défait les nœuds";42-UNITE;-5;;Non;0.18;4.74;-0.90;-23.70
"Marie qui défait les noeuds";"Notre Dame qui défait les nœuds - Le cadeau du pape François au monde";60-UNITE;392;;Oui;2.09;16.02;819.28;6279.43
"Marie qui défait les noeuds";"Novena a Maria che scioglie i nodi (IT)";71-UNITE;1809;;Oui;0.12;3.79;217.08;6858.77
"Marie qui défait les noeuds";"Pack of 10 bookmarks (EN)";64-LOT10;87;;Oui;0.10;8.33;8.70;725.00
"Marie qui défait les noeuds";"Paquet de 10 signets Marie qui défait les nœuds";54-LOT10;4;;Non;0.10;8.33;0.40;33.33
"Marie qui défait les noeuds";"Paquete de diez ejemplares ""Maria, desata de nudos"" (ES)";63-LOT10;99;;Oui;0.11;8.33;10.89;825.00
