product_id;product_name;"Total offerts";"Prix d'achat";"Prix unitaire HT";"Prix total HT";gift_message
89;"EDITION GRATUITE Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ";25;0.610000;0.000000;0.000000;FR-GRATUIT-CMD
87;"Neuvaine au Sacré-Cœur de Jésus pour la guérison de toutes les maladies";1;0.434000;4.739336;4.739336;FR-GRATUIT-CMD
86;"Neuvaine au Saint-Esprit avec Marie";1;0.328750;4.739336;4.739336;FR-GRATUIT-CMD
84;"Notre Histoire avec Marie";19;6.010000;27.488152;522.274888;FR-GRATUIT-CMD
82;"Neuvaine à Saint Joseph pour la famille";2;0.288050;4.739336;9.478672;FR-GRATUIT-CMD
81;"Neuvaine sur les pas de Bernadette pour redire « oui » à Dieu avec Marie";1;0.220000;4.739336;4.739336;FR-GRATUIT-CMD
78;"Mary who Unties Knots (EN)";20;0.320000;3.791469;75.829380;
76;"Marie die de knopen ontwart (NL)";18;0.250000;3.791469;68.246442;
73;"Maria desatadora de nudos (ES)";100;0.260000;3.791469;379.146900;
72;"Mary who unties knots  (chinese version)";6;3.060000;3.791469;22.748814;FR-GRATUIT-CMD
71;"Novena a Maria che scioglie i nodi (IT)";100;0.120000;3.791469;379.146900;
60;"Notre Dame qui défait les nœuds - Le cadeau du pape François au monde";3;2.089999;16.018957;48.056871;FR-GRATUIT-CMD
53;"Le livre de Saint Joseph - Le saint du XXIème siècle";1;0.100000;5.687204;5.687204;FR-GRATUIT-CMD
49;"Lumières sur Nazareth  Version Française";2;6.630000;26.540284;53.080568;
46;"Affichette format A2";1;0.000000;24.583333;24.583333;FR-GRATUIT-CMD
44;"Livret - neuvaine à Marie qui défait les noeuds";100;0.597280;3.791469;379.146900;FR-GRATUIT-CMD
36;"Neuvaine pour le travail - Marie qui défait les nœuds";136;0.180000;4.739336;644.549696;FR-GRATUIT-CMD
35;"Les vingt mystères de la neuvaine";170;0.200000;4.739336;805.687120;
34;"Lot de 5 livrets - neuvaine à Marie qui défait les nœuds";126;0.550000;13.270142;1672.037892;FR-GRATUIT-CMD
31;"Lumière du Monde - La beauté de l'Église et le génie catholique -  : Unité";7;0.610000;8.341232;58.388624;FR-GRATUIT-CMD
26;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques -  : Unité";17;0.610000;8.341232;141.800944;FR-GRATUIT-CMD
