id_product;product_name;Description;Détails;reference;ean13;isbn;price_ht;price_ttc;wholesale_price;weight;tax_rate;Editeur;combination_attributes;categories;image_urls;stock_quantity_total;active;date_add;date_upd
29;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ";"<p>Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ</p>
<p>Un livre pour mieux montrer que la Passion et la Résurrection du Christ sont les seules explications logiques et rationnelles à l’existence de cette image absolument singulière.</p>
<p>Une analyse sérieuse et cohérente, avec de très nombreuses illustrations pour admirer et comprendre.</p>
<p>Soyez missionnaire, achetez un lot !</p>";"<p>48 pages illustrées, format A5</p>
<p>2ème édition</p>";29-UNITE;9782491255206;978-2-491255-20-6;6.445498;6.80;0.610000;0.097000;5.500;"MDN Productions";"Quantité - Unité";"Accueil, Livres, Mission";"https://editions.mariedenazareth.com/img/p/3/8/6/386.jpg, https://editions.mariedenazareth.com/img/p/3/8/7/387.jpg, https://editions.mariedenazareth.com/img/p/3/8/8/388.jpg, https://editions.mariedenazareth.com/img/p/3/8/9/389.jpg, https://editions.mariedenazareth.com/img/p/6/9//69.jpg, https://editions.mariedenazareth.com/img/p/7/0//70.jpg";14;1;"2020-01-08 18:06:38";"2025-07-03 09:27:22"
29;"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ";"<p>Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ</p>
<p>Un livre pour mieux montrer que la Passion et la Résurrection du Christ sont les seules explications logiques et rationnelles à l’existence de cette image absolument singulière.</p>
<p>Une analyse sérieuse et cohérente, avec de très nombreuses illustrations pour admirer et comprendre.</p>
<p>Soyez missionnaire, achetez un lot !</p>";"<p>48 pages illustrées, format A5</p>
<p>2ème édition</p>";29-LOT10;9782491255190;978-2-491255-19-0;40.947867;43.20;6.000000;0.970000;5.500;"MDN Productions";"Quantité - Lot de 10 (-30%)";"Accueil, Livres, Mission";"https://editions.mariedenazareth.com/img/p/3/8/6/386.jpg, https://editions.mariedenazareth.com/img/p/3/8/7/387.jpg, https://editions.mariedenazareth.com/img/p/3/8/8/388.jpg, https://editions.mariedenazareth.com/img/p/3/8/9/389.jpg, https://editions.mariedenazareth.com/img/p/6/9//69.jpg, https://editions.mariedenazareth.com/img/p/7/0//70.jpg";278;1;"2020-01-08 18:06:38";"2025-07-03 09:27:22"
30;"(plus utilisé) Lot de 10 livrets LE LINCEUL DE TURIN, nouvelle preuve de la résurrection du Christ - port offert";"<p>Devenez missionnaires en diffusant autour de vous un livre pour mieux montrer que le Linceul de Turin est une preuve de la résurrection du Christ.</p>";"<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">Ce livre ne cherche pas à démontrer l'authenticité de ce linge sacré. Il démontre que le Linceul est une preuve de la résurrection du Christ ! Une preuve matérielle ! Ceci est basé sur une analyse sérieuse, rationnelle et cohérente.</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">Avec de très nombreuses illustrations pour admirer et comprendre.</span></span></p>";30-LOT10;9782491255190;978-2-491255-19-0;47.393365;50.00;6.100000;10.000000;5.500;"MDN Productions";;"Accueil, Mission";"https://editions.mariedenazareth.com/img/p/7/2//72.jpg, https://editions.mariedenazareth.com/img/p/7/3//73.jpg, https://editions.mariedenazareth.com/img/p/7/4//74.jpg";0;0;"2019-12-08 18:05:48";"2025-07-07 14:58:05"
31;"Lumière du Monde - La beauté de l'Église et le génie catholique";"<p>Ce livre a été écrit pour favoriser la renaissance d’un amour de l’Église.</p>
<p>L’Église est le seul héritage que Jésus Christ nous a laissé.</p>
<p>Il est temps de faire renaître l’amour de Son Église.</p>
<p>Soyez missionnaire, achetez un lot !</p>";"<p>112 pages illustrées, format A5</p>";31-LOT10;9782491255169;978-2-491255-16-9;56.113744;59.20;6.000000;2.000000;5.500;"MDN Productions";"Quantité - Lot de 10 (-30%)";"Accueil, Livres, Mission";"https://editions.mariedenazareth.com/img/p/3/9/0/390.jpg, https://editions.mariedenazareth.com/img/p/3/9/1/391.jpg, https://editions.mariedenazareth.com/img/p/3/9/2/392.jpg, https://editions.mariedenazareth.com/img/p/3/9/3/393.jpg, https://editions.mariedenazareth.com/img/p/3/9/4/394.jpg, https://editions.mariedenazareth.com/img/p/7/6//76.jpg";662;1;"2020-07-14 18:26:49";"2025-04-03 17:52:47"
31;"Lumière du Monde - La beauté de l'Église et le génie catholique";"<p>Ce livre a été écrit pour favoriser la renaissance d’un amour de l’Église.</p>
<p>L’Église est le seul héritage que Jésus Christ nous a laissé.</p>
<p>Il est temps de faire renaître l’amour de Son Église.</p>
<p>Soyez missionnaire, achetez un lot !</p>";"<p>112 pages illustrées, format A5</p>";31-UNITE;9782955534380;978-2-9555343-8-0;8.341232;8.80;0.610000;0.200000;5.500;"MDN Productions";"Quantité - Unité";"Accueil, Livres, Mission";"https://editions.mariedenazareth.com/img/p/3/9/0/390.jpg, https://editions.mariedenazareth.com/img/p/3/9/1/391.jpg, https://editions.mariedenazareth.com/img/p/3/9/2/392.jpg, https://editions.mariedenazareth.com/img/p/3/9/3/393.jpg, https://editions.mariedenazareth.com/img/p/3/9/4/394.jpg, https://editions.mariedenazareth.com/img/p/7/6//76.jpg";1442;1;"2020-07-14 18:26:49";"2025-04-03 17:52:47"
32;"Affichette format A4";"<p>Au recto : reproduction en quadrichromie du groupe central de « Marie qui défait les nœuds ».</p>
<p>Au verso : prière centrale de la neuvaine du père Juan-Ramon Celeiro. Peut aisément être collé sur support bois.</p>";"<p>Format A4 : 21 x 29,7 cm</p>";32-UNITE;9782356890061;978-2-35689-006-1;1.916667;2.30;0.000000;0.022000;20.000;"Editions du Ginko";;"Carterie & objets, Marie qui défait les nœuds";https://editions.mariedenazareth.com/img/p/1/0/0/100.jpg;0;0;"2020-06-23 14:08:44";"2025-06-25 10:16:07"
34;"Lot de 5 livrets - neuvaine à Marie qui défait les nœuds";"<p>Lot de 5 livrets de la Neuvaine à Marie qui défait les nœuds, est un livret de prières écrit par le Père Celeiro, prêtre argentin, et validé par l’Eglise catholique (Imprimatur et Nihil Obstat de l’archevêché de Paris).</p>";"<p>La Neuvaine à Marie qui défait les nœuds, est un livret de prières écrit par le Père Celeiro, prêtre argentin, et validé par l’Eglise catholique (Imprimatur et Nihil Obstat de l’archevêché de Paris).</p>
<p>Il permet de confier, pendant 9 jours, un problème à Marie, Mère de Jésus, en méditant à partir du chapelet et de la reproduction du tableau dont elle porte le nom. Il ne s’agit nullement de formules magiques mais de l’appel confiant d’une personne dans le besoin, à celle qui peut tout obtenir de Dieu. Diffusée dans le monde entier, cette neuvaine a suscité des témoignages impressionnants.</p>";34-LOT5;;978-2-35689-011-5;13.270142;14.00;0.550000;0.149000;5.500;"Marie qui défait les noeuds";;"Marie qui défait les nœuds";https://editions.mariedenazareth.com/img/p/8/2//82.jpg;0;0;"2019-06-23 14:17:42";"2023-09-08 11:56:33"
35;"Les vingt mystères de la neuvaine";"<p>Ce livret contient un texte de l’Évangile pour chacun des 20 mystères du chapelet. Il est un excellent complément à la neuvaine à Marie qui défait les nœuds car il contient la version intégrale des textes bibliques cités dans la neuvaine.</p>";"<p>32 pages</p>
<p>format : 16 x 10,5 cm</p>";35-UNITE;9782356890146;978-2-35689-014-6;4.739336;5.00;0.200000;0.034000;5.500;"Editions du Ginko";;"Accueil, Livres, Marie qui défait les nœuds";https://editions.mariedenazareth.com/img/p/8/4//84.jpg;1;1;"2019-06-23 14:27:33";"2025-07-07 14:58:05"
36;"Neuvaine pour le travail - Marie qui défait les nœuds";"<p>La neuvaine à Marie qui défait les nœuds du père Celeiro, adaptée pour le travail. Vous y trouverez, entre autres, une très belle prière à Marie du pape François, des témoignages impressionnants et un bref historique de cette ancienne dévotion.</p>";"<p>24 pages</p>
<p>format : 16 x 10,5 cm</p>";36-UNITE;9782356890849;978-2-35689-084-9;4.739336;5.00;0.180000;0.034000;5.500;"Editions du Ginko";;"Accueil, Livres, Marie qui défait les nœuds, Remise de 30% à partir de 5 livres";https://editions.mariedenazareth.com/img/p/8/6//86.jpg;264;0;"2020-04-13 18:28:53";"2025-06-25 10:17:36"
37;"Neuvaine pour la famille - Marie qui défait les nœuds";"<p>La neuvaine à Marie qui défait les nœuds du père Celeiro, adaptée pour les familles. Vous y trouverez, entre autres, une très belle prière à Marie du pape François, des témoignages impressionnants et un bref historique de cette ancienne dévotion.</p>";"<p>24 pages</p>
<p>format : 16 x 10,5 cm</p>";37-UNITE;9782356890863;978-2-35689-086-3;4.739336;5.00;0.180000;0.034000;5.500;"Editions du Ginko";;"Accueil, Marie qui défait les nœuds";https://editions.mariedenazareth.com/img/p/8/8//88.jpg;-4;0;"2020-04-13 18:28:30";"2025-06-25 10:17:49"
