Emplacement;Produit;RÃ©fÃ©rence;ISBN;QuantitÃ©;Prix d'achat;Prix de vente;Total achat;Total vente,Actif
AMDN / ESAT;EDITION GRATUITE Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ;89-GRATUIT;978-2-491255-22-0;0;0.00;0.00;0.00;0.00;Actif;
AMDN / ESAT;Magazine Ave Maria;AVE67;;0;0.00;0.00;0.00;0.00;Actif;
AMDN / ESAT;Magazine Ave Maria;AVE68;;0;0.00;0.00;0.00;0.00;Actif;
AMDN / ESAT;Magazine Ave Maria;AVE77;;0;0.00;0.00;0.00;0.00;Actif;
AMDN / ESAT;Magazine Ave Maria;AVE69;;0;0.00;0.00;0.00;0.00;Actif;
AMDN / ESAT;Magazine Ave Maria;AVE65;;0;0.00;0.00;0.00;0.00;Actif;
AMDN / ESAT;Magazine Ave Maria;AVE74;;0;0.00;0.00;0.00;0.00;Actif;
AMDN / ESAT;Magazine Ave Maria;AVE66;;0;0.00;0.00;0.00;0.00;Actif;
Esat Moulins;10 Stuck Packungen (AL);66-LOT10;;50;0.00;8.33;0.00;416.50;Actif;
Esat Moulins;1000 Raisons de croire, la BD;249-LOT5;978-2-487056-41-1;7;0.00;51.28;0.00;358.96;Actif;
Esat Moulins;1000 Raisons de croire, la BD;249-LOT7;978-2-487056-41-1;0;0.00;79.72;0.00;0.00;Actif;
Esat Moulins;1000 Raisons de croire, la BD;249-UNITE;978-2-487056-41-1;411;0.00;14.12;0.00;5803.32;Actif;
Esat Moulins;365 méditations sur la Vierge Marie;51-UNITE;978-2-7509051-3-2;2;0.00;0.00;0.00;0.00;DÃ©sactivÃ©;
Esat Moulins;A Jésus par Marie;237-UNITE;978-2-35389-728-5;27;0.00;12.32;0.00;332.64;Actif;
Esat Moulins;Affiche A4 Marie qui défait les Noeuds - Nouvelle version;157-LOT10;978-2-491255-90-9;128;0.19;5.75;24.32;736.00;Actif;
Esat Moulins;Affiche A4 Marie qui défait les Noeuds - Nouvelle version;157-UNITE;978-2-491255-90-9;19;0.19;2.50;3.61;47.50;Actif;
Esat Moulins;Affichette format A2;46-UNITE;978-2-35689-008-5;30;0.00;24.58;0.00;737.40;DÃ©sactivÃ©;
Esat Moulins;Affichette format A3;45-UNITE;978-2-35689-007-8;95;0.00;11.25;0.00;1068.75;DÃ©sactivÃ©;
Esat Moulins;Apprendre à prier_L'essentiel de l'art de la prière;235-UNITE;978-2-38433-192-5;23;0.00;15.17;0.00;348.91;Actif;
Esat Moulins;Autocollants Marie qui défait les noeuds;251-LOT4;978-2-487056-25-1;14;0.00;5.00;0.00;70.00;Actif;
Esat Moulins;Autocollants Marie qui défait les noeuds;251-UNITE;978-2-487056-25-1;123;0.00;2.50;0.00;307.50;Actif;
Esat Moulins;Bernadette et Lourdes _ L'enquête;176-UNITE;979-10-94998-85-4;68;0.00;14.12;0.00;960.16;Actif;
Esat Moulins;Bernadette ne nous a pas trompés;136-UNITE;978-2-491255-68-8;251;0.00;20.85;0.00;5233.35;Actif;
Esat Moulins;Bougie de neuvaine Marie qui défait les noeuds;128-LOT6;;8;0.00;19.17;0.00;153.36;Actif;
Esat Moulins;Bougie de neuvaine Marie qui défait les noeuds;128-UNITE;;147;0.00;5.00;0.00;735.00;Actif;
Esat Moulins;Bougies 100 étoiles pour Marie;113-LOT4;;6;0.00;4.58;0.00;27.48;Actif;
Esat Moulins;Bougies 100 étoiles pour Marie;113-UNITE;;228;0.00;1.67;0.00;380.76;Actif;
Esat Moulins;Calendrier de l'Avent Marie qui défait les Noeuds;168-LOT5;978-2-491255-97-8;12;0.00;24.25;0.00;291.00;Actif;
Esat Moulins;Calendrier de l'Avent Marie qui défait les Noeuds;168-UNITE;978-2-491255-97-8;1152;0.00;8.25;0.00;9504.00;Actif;
Esat Moulins;Calendrier de Neuvaine à Saint Joseph pour la famille;188-UNITE;370-0-00-027160-4;3;0.33;6.58;0.99;19.74;DÃ©sactivÃ©;
Esat Moulins;Calendrier de neuvaine à saint Louis et sainte Zélie Martin;186-UNITE;370-0-00-027505-3;35;0.00;6.58;0.00;230.30;Actif;
Esat Moulins;Calendrier de neuvaine au Bienheureux Carlo Acutis;222-UNITE;;2;0.00;6.58;0.00;13.16;Actif;
Esat Moulins;Carte image Marie qui défait les Noeuds;114-LOT10;;202;0.61;9.17;123.22;1852.34;Actif;
Esat Moulins;Carte image Marie qui défait les Noeuds;114-LOT20;;59;0.61;15.00;35.99;885.00;Actif;
Esat Moulins;Carte image Marie qui défait les Noeuds;114-UNITE;;9485;0.61;1.25;5785.85;11856.25;Actif;
Esat Moulins;Carte postale Marie qui défait les Noeuds - Nouvelle version;156-UNITE;978-2-491255-83-1;30;0.33;1.25;9.90;37.50;Actif;
Esat Moulins;Carte postale Marie qui défait les Noeuds - Nouvelle version;156-LOT10;978-2-491255-83-1;76;0.33;2.92;25.08;221.92;Actif;
