Emplacement;Produit;RÃ©fÃ©rence;ISBN;QuantitÃ©;Prix d'achat;Prix de vente;Total achat;Total vente,Actif
AMDN / ESAT;EDITION GRATUITE - La Vocation de la France - Servir les cœurs unis de Jésus et Marie;103-GRATUIT;978-2-491255-58-9;1807;0.61;0.00;1102.27;0.00;DÃ©sactivÃ©;
AMDN / ESAT;EDITION GRATUITE Joseph, modèle de vie - Si important pour notre temps;90-GRATUIT;978-2-491255-42-8;2880;0.61;0.00;1756.80;0.00;DÃ©sactivÃ©;
AMDN / ESAT;EDITION GRATUITE Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ;89-GRATUIT;978-2-491255-22-0;1318;0.61;0.00;803.98;0.00;Actif;
AMDN / ESAT;EDITION GRATUITE Lumière du Monde - La beauté de l'Église et le génie catholique;91-GRATUIT;978-2-491255-17-6;5260;0.61;0.00;3208.60;0.00;Actif;
AMDN / ESAT;EDITION GRATUITE Maria Valtorta - Confirmation par la science;95-GRATUIT;978-2-4912554-7-3;1441;0.61;0.00;879.01;0.00;DÃ©sactivÃ©;
AMDN / ESAT;EDITION GRATUITE Marie et la France - Un lien extraordinaire à redécouvrir;98-GRATUIT;978-2-491255-43-5;3555;0.61;0.00;2168.55;0.00;DÃ©sactivÃ©;
Esat Moulins;10 Stuck Packungen (AL);66-LOT10;;54;0.02;8.33;1.08;449.82;Actif;
Esat Moulins;Affichette format A2;46-UNITE;978-2-35689-008-5;64;0.00;24.58;0.00;1573.12;Actif;
Esat Moulins;Affichette format A3;45-UNITE;978-2-35689-007-8;115;0.00;11.25;0.00;1293.75;Actif;
Esat Moulins;Affichette format A4;32-UNITE;978-2-35689-006-1;0;0.00;1.92;0.00;0.00;Actif;
Esat Moulins;Bernadette ne nous a pas trompés;136-UNITE;978-2-491255-68-8;499;2.39;20.85;1192.61;10404.15;DÃ©sactivÃ©;
Esat Moulins;Bougies 100 étoiles pour Marie;113-LOT4;;18;0.44;4.58;7.92;82.44;Actif;
Esat Moulins;Bougies 100 étoiles pour Marie;113-UNITE;;374;0.44;1.67;164.56;624.58;Actif;
Esat Moulins;Bougies Marie qui défait les noeuds;128-UNITE;;122;0.44;1.67;53.68;203.74;DÃ©sactivÃ©;
Esat Moulins;Carte image Marie qui défait les Noeuds;114-LOT10;;394;0.61;9.17;240.34;3612.98;Actif;
Esat Moulins;Carte image Marie qui défait les Noeuds;114-UNITE;;9817;0.61;1.25;5988.37;12271.25;Actif;
Esat Moulins;Carte image Marie qui défait les Noeuds;114-LOT20;;92;0.61;15.00;56.12;1380.00;Actif;
Esat Moulins;Cartoloina Maria che scioglie i nodi (IT);69-UNITE;;851;0.10;1.25;85.10;1063.75;Actif;
Esat Moulins;CD - prier le chapelet;56-UNITE;376-0-13237-798-8;146;5.58;7.50;814.68;1095.00;Actif;
Esat Moulins;Chapelet blanc en nylon;120-UNITE;;155;0.12;1.25;18.60;193.75;DÃ©sactivÃ©;
Esat Moulins;Chapelet en bois verni;47-UNITE;978-2-35689-010-8;209;3.98;5.00;831.82;1045.00;Actif;
Esat Moulins;Dieu, la Science, les preuves;109-UNITE;978-2-813225-85-6;115;13.65;22.75;1569.75;2616.25;Actif;
Esat Moulins;EDITION GRATUITE Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ;89-GRATUIT;978-2-491255-22-0;0;0.61;0.00;0.00;0.00;Actif;
